This is small snapshot of sample stock to use for testing and populating of the necessary database table. Feel free to
add more to the csv. This is not an exhaustive list, but you must maintain the columns.


id,name,category,perishable,cost,stock,sell_price
1,Gold Ring,Jewellery,false,120.00,4,180.00
2,Jade Bracelet,Jewellery,false,150.00,2,250.00
3,TT Handmade Shell Necklace,Jewellery,false,60.00,15,90.00
4,TT Homemade Strawberry Jam,Food,true,4.00,30,6.00
5,TT Homemade Blackberry Jam,Food,true,3.00,20,6.00
6,TT Homemade Shortbread,Food,true,5.00,10,8.00
7,Local Postcard,Misc,false,1.00,50,3.00
8,Handwoven Basket,Home,false,10.00,15,15.00
9,Village Canvas,Home,false,100.00,10,150.00
10,Small Animal Sculpture,Home,false,20.00,5,25.00
